place,count
"Albuquerque, N.M.",2
"Alexandria, Va.",4
"Aliquippa, Pa.",1
"Alta, Iowa",1
"Anchorage, Alaska",1
"Ann Arbor, Mich.",1
"Arlington, Mass.",1
"Arlington, Va.",8
"Arlington, Wash.",1
"Asheville, N.C.",1
"Ashford, Conn.",1
"Atlanta, Ga.",1
"Auburn, Wash.",1
"Austin, Texas",3
"Ayer, Mass.",1
"Bainbridge Island, Wash.",1
"Baltimore, Md.",3
"Barrington, R.I.",3
"Basalt, Colo.",1
"Basking Ridge, N.J.",1
"Belfast, Maine",1
"Bellingham, Wash.",1
"Bend, Ore.",1
"Berkeley, Calif.",4
"Bethesda, Md.",2
"Blaine, Wash.",1
"Blue Hill, Me.",1
"Boston, Mass.",1
"Boynton Beach, Fla.",1
"Branford, Conn.",1
"Brattleboro, Vt.",1
"Briarcliff Manor, N.Y.",1
"Brick, N.J.",1
"Brisbane, Australia",1
"Brookline, Mass.",1
"Brooklyn, N.Y.",18
"Burlington, Vt.",1
"Burnsville, N.C.",1
"Caledonia, Ill.",1
"Cambridge, Mass.",3
"Canaan, N.H.",1
"Candler, N.C.",1
"Champaign, Ill.",2
"Charlotte, N.C.",3
"Charlottesville, Va.",2
"Chevy Chase, Md.",3
"Chicago, Ill.",16
"Cincinnati, Ohio",1
"Clearwater, Fla.",1
"Cleveland Heights, Ohio",1
"Columbus, Ohio",2
"Conception, Mo.",1
"Corte Madera, Calif.",1
"Culpeper, Va.",1
"Culver City, Calif.",1
"Dalton, Ga.",1
"Danville, Calif.",1
"Dartmouth, Mass.",1
"Daytona Beach, Fla.",1
"DeKalb, Ill.",1
"Del Mar, Calif.",1
"Dingmans Ferry, Pa.",1
"Dublin, Ohio",1
"Dummerston, Vt.",1
"Durand, Wis.",1
"East Sandwich, Mass.",1
"Easton, Pa.",1
"El Cajon, Calif.",1
"El Cerrito, Calif.",1
"Elizabeth City, N.C.",1
"Elkins Park, Pa.",1
"Fairfax, Va.",1
"Fairfield, Conn.",1
"Flint, Mich.",1
"Floral Park, N.Y.",1
"Fort Collins, Colo.",1
"Frankfort, Ill.",1
"Franklin Square, N.Y.",1
"Frederick, Md.",1
"Frederick, Md.",1
"Fredericksburg, Va.",1
"Fremont, Calif.",1
"Fremont, Ohio",1
"Gainesville, Fla.",1
"Garden City, N.Y.",1
"Glastonbury, Conn.",1
"Glendale, Calif.",1
"Glendale, Wis.",1
"Great Barrington, Mass.",1
"Great Falls, Mont.",1
"Greensboro, N.C.",1
"Greenup, Ky.",1
"Guilford, Conn.",1
"Gurnee, Ill.",1
"Hartford, Wis.",1
"Hastings-on-Hudson, N.Y.",1
"Hilton Head Island, S.C.",1
"Hollywood, Calif.",1
"Horsham, Pa.",1
"Houston, Texas",4
"Huntington Beach, Calif.",1
"Indianapolis, Ind.",1
"Island Park, N.Y.",2
"Ithaca, N.Y.",1
"Jackson, Miss.",1
"Jersey City, N.J.",1
"Juneau, Alaska",1
"Kailua-Kona, Hawaii",2
"Keene, N.H.",1
"Kelsey, Calif.",1
"Kennett Square, Pa.",1
"Kensington, Calif.",1
"Kentfield, Calif.",1
"Kinnelon, N.J.",1
"Knoxville, Tenn.",1
"Lake Bluff, Ill.",1
"Lake Forest, Ill.",1
"Lake Wales, Fla.",1
"Lake Worth, Fla.",1
"Lakewood Ranch, Fla.",1
"Lancaster, Pa.",1
"Larkspur, Calif.",1
"Las Vegas, Nev.",1
"Laurence Harbor, N.J.",1
"Lawndale, Calif.",1
"Leesburg, Fla.",1
"Lexington, Ky.",1
"Lincoln, Neb.",1
"Livingston, N.J.",1
"Long Branch, N.J.",1
"Los Altos, Calif.",1
"Los Angeles, Calif.",18
"Los Gatos, Calif.",2
"Los Osos, Calif.",2
"Louisville, Ky.",2
"Manchester Center, Vt.",1
"Manheim, Pa.",1
"Maple Shade, N.J.",1
"Marblehead, Mass.",1
"Marietta, Ohio",1
"Marquette, Mich.",1
"Massapequa Park, N.Y.",1
"Melville, N.Y.",1
"Memphis, Tenn.",1
"Mequon, Wis.",1
"Merion, Pa",1
"Merrick, N.Y.",1
"Milton, Del.",1
"Minneapolis, Minn.",4
"Morganton, N.C.",2
"Natick, Mass.",2
"Naugatuck, Conn.",1
"Needham, Mass.",1
"New Albany, Ohio",1
"New Bedford, Mass.",1
"New Braunfels, Texas",1
"New Haven, Conn.",2
"New London, N.H.",1
"New Orleans, La.",1
"New York, N.Y.",42
"Newport News, Va.",1
"Newtown, Pa.",1
"Nichols Hills, Okla.",1
"Norcross, Ga.",2
"Northampton, Mass.",1
"Northford, Conn.",1
"O'Fallon, Mo.",1
"Oakland, Calif.",1
"Ojai, Calif.",1
"Oklahoma City, Okla.",1
"Old Bridge, N.J.",1
"Orland Park, Ill.",1
"Ossining, N.Y.",1
"Oswego, Ill.",1
"Overland Park, Kans.",1
"Owings Mills, Md.",1
"Pacific Palisades, Calif.",1
"Palo Alto, Calif.",2
"Park City, Utah",1
"Park Ridge, Ill.",1
"Pasadena, Calif.",3
"Pawtucket, R.I.",2
"Penfield, N.Y.",1
"Penngrove, Calif.",1
"Phenix City, Ala.",1
"Philadelphia, Pa.",4
"Phoenix, Ariz.",1
"Pikeville, N.C.",1
"Pittsburgh, Pa.",1
"Placentia, Calif.",1
"Plainfield, N.H.",1
"Plainview, N.Y.",1
"Portland, Maine",1
"Portland, Ore.",3
"Princeton, N.J.",2
"Raleigh, N.C.",1
"Red Boiling Springs, Tenn.",1
"Redding, Conn.",1
"Reston, Va.",1
"Reynoldsburg, Ohio",1
"Richmond, Calif.",1
"Richmond, Va.",5
"Ridgeland, Miss.",1
"Ridgewood, N.J.",1
"Roanoke, Va.",1
"Rogers, Ark.",1
"Rye Brook, N.Y.",1
"Rye, N.Y.",1
"Salisbury, Conn.",1
"Salt Lake City, Utah",2
"San Anselmo, Calif.",1
"San Diego, Calif.",2
"San Francisco, Calif.",6
"San Mateo, Calif.",1
"Santa Barbara, Calif.",2
"Santa Clarita, Calif.",1
"Santa Fe, N.M.",1
"Santa Ynez, Calif.",1
"Satellite Beach, Fla.",1
"Saunderstown, R.I.",1
"Scarsdale, N.Y.",1
"Seattle, Wash.",4
"Secane, Pa.",2
"Sechelt, B.C.",1
"Sedona, Ariz.",1
"Shoreham, Vt.",1
"Silver Creek, N.Y.",1
"Silver Spring, Md.",1
"Somerville, Mass.",1
"South Orange, N.J.",1
"Southern Shores, N.C.",1
"Springfield, Va.",1
"St. Louis, Mo.",2
"St. Paul, Minn.",2
"Stanardsville, Va.",1
"Starkville, Miss.",1
"Staten Island, N.Y.",2
"Sunnyside, N.Y.",1
"Sunnyvale, Calif.",1
"Surrey, B.C.",1
"Sydney, Australia",1
"Syracuse, N.Y.",1
"Tampa, Fla.",2
"Teaneck, N.J.",1
"Tempe, Ariz.",1
"Tenafly, N.J.",1
"Terryville, Conn.",1
"Thousand Oaks, Calif.",2
"Tiburon, Calif.",1
"Topanga, Calif.",1
"Toronto, Ont.",8
"Towson, Md.",1
