state,count,cap,lib,noreg,ab,liblog,noreglog
alabama,2,0.418433152,15.3,13.6,AL,2.727852828,2.610069793
alaska,2,2.815985222,20.8,42.7,AK,3.034952987,3.75419892
arizona,6,0.938670845,22.3,33.8,AZ,3.104586678,3.520460802
arkansas,1,0.342945172,16.4,17.6,AR,2.797281335,2.867898902
california,75,2.013209013,27.5,37.8,CA,3.314186005,3.632309103
colorado,2,0.397677879,25,40.6,CO,3.218875825,3.703768067
connecticut,14,3.917073319,26.9,40.4,CT,3.292126287,3.698829785
delaware,1,1.113667597,23.1,29,DE,3.139832618,3.36729583
florida,11,0.585065615,21.7,30.8,FL,3.077312261,3.42751469
georgia,13,1.34191429,19,19.1,GA,2.944438979,2.949688335
hawaii,2,1.470262832,29.6,41,HI,3.387774361,3.713572067
idaho,0,0,17.7,34.8,ID,2.87356464,3.549617387
illinois,29,2.260216021,24.6,32.6,IL,3.202746443,3.484312288
indiana,1,0.154230496,20.6,26.9,IN,3.025291076,3.292126287
iowa,1,0.328261151,19.6,29.7,IA,2.975529566,3.391147046
kansas,0,0,20.4,30.6,KS,3.015534901,3.421000009
kentucky,4,0.921793432,18.2,22.3,KY,2.901421594,3.104586678
louisiana,1,0.220586354,17.4,16.8,LA,2.856470206,2.821378886
maine,3,2.258422221,24.9,51.1,ME,3.214867803,3.933784497
maryland,14,2.424850421,26.7,30.6,MD,3.284663565,3.421000009
massachusetts,22,3.359994893,30.3,46,MA,3.411147713,3.828641396
michigan,5,0.505886495,21.8,31.6,MI,3.08190997,3.453157121
minnesota,7,1.319777335,24.4,34.2,MN,3.194583132,3.532225644
mississippi,7,2.35904933,12.9,11.3,MS,2.557227311,2.424802726
missouri,4,0.667899275,18.4,27.3,MO,2.912350665,3.306886702
montana,1,1.010698241,21.1,37.8,MT,3.04927304,3.632309103
nebraska,1,0.547542874,17.6,27.3,NE,2.867898902,3.306886702
nevada,2,0.740589606,23.3,39.7,NV,3.148453361,3.681351188
new hampshire,4,3.038428525,20.2,49.2,NH,3.005682604,3.895893623
new jersey,17,1.93359929,25.5,32.5,NJ,3.238678452,3.481240089
new mexico,3,1.456891314,21.8,29,NM,3.08190997,3.36729583
new york,85,4.386394498,27.6,37.1,NY,3.317815773,3.61361697
north carolina,13,1.363328947,21.5,19.6,NC,3.068052935,2.975529566
north dakota,0,0,13.5,24.8,ND,2.602689685,3.210843653
ohio,9,0.780132352,20.8,31,OH,3.034952987,3.433987204
oklahoma,3,0.79971189,18.1,22.9,OK,2.895911938,3.131136911
oregon,4,1.044093641,27.5,43.4,OR,3.314186005,3.770459441
pennsylvania,18,1.417057387,22.8,32.5,PA,3.126760536,3.481240089
rhode island,6,5.700349716,24.5,41,RI,3.198673118,3.713572067
south carolina,1,0.216199201,17.7,17.1,SC,2.87356464,2.839078464
south dakota,0,0,15.5,31.9,SD,2.740840024,3.46260601
tennessee,3,0.472730911,16.8,18.2,TN,2.821378886,2.901421594
texas,10,0.397684506,19,21.5,TX,2.944438979,3.068052935
utah,3,1.085428663,17.4,27.2,UT,2.856470206,3.303216973
vermont,5,7.990526432,29.8,56.3,VT,3.394508394,4.030694535
virginia,27,3.374568055,21,26.9,VA,3.044522438,3.292126287
washington,19,2.825472077,27.4,43.7,WA,3.310543013,3.777348102
west virginia,0,0,18.1,25.3,WV,2.895911938,3.230804396
wisconsin,5,0.879200336,21.5,32.7,WI,3.068052935,3.487375078
wyoming,0,0,12.8,35.1,WY,2.549445171,3.55820113
