state,count,percent,pop,capp1000000
Alabama,2,0.429184549,4779736,0.418433152
Alaska,2,0.429184549,710231,2.815985222
Arizona,6,1.287553648,6392017,0.938670845
Arkansas,1,0.214592275,2915918,0.342945172
California,75,16.0944206,37253956,2.013209013
Colorado,2,0.429184549,5029196,0.397677879
Connecticut,14,3.004291845,3574097,3.917073319
Delaware,1,0.214592275,897934,1.113667597
Florida,11,2.360515021,18801310,0.585065615
Georgia,13,2.789699571,9687653,1.34191429
Hawaii,2,0.429184549,1360301,1.470262832
Idaho,0,0,1567582,0
Illinois,29,6.223175966,12830632,2.260216021
Indiana,1,0.214592275,6483802,0.154230496
Iowa,1,0.214592275,3046355,0.328261151
Kansas,0,0,2853118,0
Kentucky,4,0.858369099,4339367,0.921793432
Louisiana,1,0.214592275,4533372,0.220586354
Maine,3,0.643776824,1328361,2.258422221
Maryland,14,3.004291845,5773552,2.424850421
Massachusetts,22,4.721030043,6547629,3.359994893
Michigan,5,1.072961373,9883640,0.505886495
Minnesota,7,1.502145923,5303925,1.319777335
Mississippi,7,1.502145923,2967297,2.35904933
Missouri,4,0.858369099,5988927,0.667899275
Montana,1,0.214592275,989415,1.010698241
Nebraska,1,0.214592275,1826341,0.547542874
Nevada,2,0.429184549,2700551,0.740589606
New Hampshire,4,0.858369099,1316470,3.038428525
New Jersey,17,3.64806867,8791894,1.93359929
New Mexico,3,0.643776824,2059179,1.456891314
New York,85,18.24034335,19378102,4.386394498
North Carolina,13,2.789699571,9535483,1.363328947
North Dakota,0,0,672591,0
Ohio,9,1.931330472,11536504,0.780132352
Oklahoma,3,0.643776824,3751351,0.79971189
Oregon,4,0.858369099,3831074,1.044093641
Pennsylvania,18,3.862660944,12702379,1.417057387
Rhode Island,6,1.287553648,1052567,5.700349716
South Carolina,1,0.214592275,4625364,0.216199201
South Dakota,0,0,814180,0
Tennessee,3,0.643776824,6346105,0.472730911
Texas,10,2.145922747,25145561,0.397684506
Utah,3,0.643776824,2763885,1.085428663
Vermont,5,1.072961373,625741,7.990526432
Virginia,27,5.793991416,8001024,3.374568055
Washington,19,4.077253219,6724540,2.825472077
West Virginia,0,0,1852994,0
Wisconsin,5,1.072961373,5686986,0.879200336
Wyoming,0,0,563626,0
